seasonType,seasonId,isCurrentSeason,isOffseason
season,division.bro.official.pc-2018-34,True,False
season,division.bro.official.pc-2018-33,False,False
season,division.bro.official.pc-2018-32,False,False
season,division.bro.official.pc-2018-31,False,False
season,division.bro.official.pc-2018-30,False,False
season,division.bro.official.pc-2018-29,False,False
season,division.bro.official.pc-2018-28,False,False
season,division.bro.official.pc-2018-27,False,False
season,division.bro.official.pc-2018-26,False,False
season,division.bro.official.pc-2018-25,False,False
season,division.bro.official.pc-2018-24,False,False
season,division.bro.official.pc-2018-23,False,False
season,division.bro.official.pc-2018-22,False,False
season,division.bro.official.pc-2018-21,False,False
season,division.bro.official.pc-2018-20,False,False
season,division.bro.official.pc-2018-19,False,False
season,division.bro.official.pc-2018-18,False,False
season,division.bro.official.pc-2018-17,False,False
season,division.bro.official.pc-2018-16,False,False
season,division.bro.official.pc-2018-15,False,False
season,division.bro.official.pc-2018-14,False,False
season,division.bro.official.pc-2018-13,False,False
season,division.bro.official.pc-2018-12,False,False
season,division.bro.official.pc-2018-11,False,False
season,division.bro.official.pc-2018-10,False,False
season,division.bro.official.pc-2018-09,False,False
season,division.bro.official.pc-2018-08,False,False
season,division.bro.official.pc-2018-07,False,False
season,division.bro.official.pc-2018-06,False,False
season,division.bro.official.pc-2018-05,False,False
season,division.bro.official.pc-2018-04,False,False
season,division.bro.official.pc-2018-03,False,False
season,division.bro.official.pc-2018-02,False,False
season,division.bro.official.pc-2018-01,False,False
season,division.bro.official.console-34,False,False
season,division.bro.official.console-33,False,False
season,division.bro.official.console-32,False,False
season,division.bro.official.console-31,False,False
season,division.bro.official.console-30,False,False
season,division.bro.official.console-29,False,False
season,division.bro.official.console-28,False,False
season,division.bro.official.console-27,False,False
season,division.bro.official.console-26,False,False
season,division.bro.official.console-25,False,False
season,division.bro.official.console-24,False,False
season,division.bro.official.console-23,False,False
season,division.bro.official.console-22,False,False
season,division.bro.official.console-21,False,False
season,division.bro.official.console-20,False,False
season,division.bro.official.console-19,False,False
season,division.bro.official.console-18,False,False
season,division.bro.official.console-17,False,False
season,division.bro.official.console-16,False,False
season,division.bro.official.console-15,False,False
season,division.bro.official.console-14,False,False
season,division.bro.official.console-13,False,False
season,division.bro.official.console-12,False,False
season,division.bro.official.console-11,False,False
season,division.bro.official.console-10,False,False
season,division.bro.official.console-09,False,False
season,division.bro.official.console-08,False,False
season,division.bro.official.console-07,False,False
season,division.bro.official.console-06,False,False
season,division.bro.official.console-05,False,False
season,division.bro.official.console-04,False,False
season,division.bro.official.console-03,False,False
season,division.bro.official.2018-09,False,False
season,division.bro.official.2018-08,False,False
season,division.bro.official.2018-07,False,False
season,division.bro.official.2018-06,False,False
season,division.bro.official.2018-05,False,False
season,division.bro.official.2018-04,False,False
season,division.bro.official.2018-03,False,False
season,division.bro.official.2018-02,False,False
season,division.bro.official.2018-01,False,False
season,division.bro.official.2017-pre8,False,False
season,division.bro.official.2017-pre4,False,False
season,division.bro.official.2017-pre3,False,False
season,division.bro.official.2017-pre6,False,False
season,division.bro.official.2017-pre2,False,False
season,division.bro.official.2017-pre5,False,False
season,division.bro.official.2017-pre7,False,False
season,division.bro.official.2017-pre9,False,False
season,division.bro.official.2017-beta,False,False
season,division.bro.official.2017-pre1,False,False
