tournamentId,matchNum,teamId,rank
1,1,8,14
1,1,12,12
1,1,5,5
1,1,11,9
1,1,18,11
1,1,14,13
1,1,4,15
1,1,3,7
1,1,7,16
1,1,9,19
1,1,19,10
1,1,15,17
1,1,17,1
1,1,13,18
1,1,1,3
1,1,2,4
1,1,6,6
1,1,16,8
1,1,10,2
1,2,7,19
1,2,13,11
1,2,10,2
1,2,11,1
1,2,16,15
1,2,12,5
1,2,5,4
1,2,3,10
1,2,6,17
1,2,14,8
1,2,17,7
1,2,18,14
1,2,1,9
1,2,19,13
1,2,4,3
1,2,9,16
1,2,2,6
1,2,8,18
1,2,15,12
1,3,16,2
1,3,13,19
1,3,14,3
1,3,4,1
1,3,15,11
1,3,3,18
1,3,12,9
1,3,8,17
1,3,5,16
1,3,10,12
1,3,17,7
1,3,19,5
1,3,11,4
1,3,1,8
1,3,18,10
1,3,9,15
1,3,6,14
1,3,7,6
1,3,2,13
1,4,17,17
1,4,9,2
1,4,4,5
1,4,19,14
1,4,2,9
1,4,13,16
1,4,15,8
1,4,3,11
1,4,12,1
1,4,5,13
1,4,8,19
1,4,7,6
1,4,18,4
1,4,16,10
1,4,11,3
1,4,10,7
1,4,6,12
1,4,1,18
1,4,14,15
1,5,8,9
1,5,1,8
1,5,19,17
1,5,9,13
1,5,5,3
1,5,6,10
1,5,13,2
1,5,11,12
1,5,15,1
1,5,2,19
1,5,14,14
1,5,10,11
1,5,7,15
1,5,3,7
1,5,12,16
1,5,4,5
1,5,17,4
1,5,16,6
1,5,18,18
1,6,12,3
1,6,2,8
1,6,15,10
1,6,16,1
1,6,8,14
1,6,4,13
1,6,10,6
1,6,9,9
1,6,6,18
1,6,13,12
1,6,19,2
1,6,11,5
1,6,1,11
1,6,17,15
1,6,5,17
1,6,3,16
1,6,18,7
1,6,7,4
1,6,14,19
2,1,2,5
2,1,4,13
2,1,12,6
2,1,6,9
2,1,13,14
2,1,8,7
2,1,5,3
2,1,10,2
2,1,7,1
2,1,1,8
2,1,11,12
2,1,3,10
2,1,9,11
2,1,14,4
3,1,14,12
3,1,7,8
3,1,12,9
3,1,3,5
3,1,5,11
3,1,11,1
3,1,4,6
3,1,6,7
3,1,8,2
3,1,9,13
3,1,2,4
3,1,1,3
3,1,10,10
2,2,1,4
2,2,11,14
2,2,12,10
2,2,5,9
2,2,8,2
2,2,7,5
2,2,6,3
2,2,4,6
2,2,13,11
2,2,2,8
2,2,10,1
2,2,9,13
2,2,14,7
2,2,3,12
3,2,8,5
3,2,14,12
3,2,4,7
3,2,2,9
3,2,7,13
3,2,12,8
3,2,11,11
3,2,6,4
3,2,3,6
3,2,1,2
3,2,5,3
3,2,10,1
3,2,9,10
2,3,3,11
2,3,9,1
2,3,4,13
2,3,2,6
2,3,6,10
2,3,14,9
2,3,7,7
2,3,5,8
2,3,1,4
2,3,10,2
2,3,12,14
2,3,13,12
2,3,11,3
2,3,8,5
3,3,5,9
3,3,6,7
3,3,7,8
3,3,4,2
3,3,10,1
3,3,9,11
3,3,2,3
3,3,14,13
3,3,11,4
3,3,8,5
3,3,3,6
3,3,12,12
3,3,1,10
2,4,4,9
2,4,7,4
2,4,2,11
2,4,13,14
2,4,11,7
2,4,6,10
2,4,1,6
2,4,8,1
2,4,3,3
2,4,12,12
2,4,9,5
2,4,14,8
2,4,10,2
2,4,5,13
3,5,14,4
3,5,2,5
3,5,4,2
3,5,9,9
3,5,7,11
3,5,8,8
3,5,10,3
3,5,6,7
3,5,5,12
3,5,11,10
3,5,12,6
3,5,1,1
3,5,3,13
2,5,3,14
2,5,5,6
2,5,9,2
2,5,14,11
2,5,10,5
2,5,8,3
2,5,7,9
2,5,11,7
2,5,6,12
2,5,2,1
2,5,4,8
2,5,13,13
2,5,1,4
2,5,12,10
3,4,7,11
3,4,9,10
3,4,5,8
3,4,4,2
3,4,10,12
3,4,11,5
3,4,3,13
3,4,1,4
3,4,14,6
3,4,2,1
3,4,8,7
3,4,6,9
3,4,12,3
3,6,6,7
3,6,3,6
3,6,8,13
3,6,14,9
3,6,11,2
3,6,5,5
3,6,4,1
3,6,7,10
3,6,9,4
3,6,2,11
3,6,1,3
3,6,12,8
3,6,10,12
2,6,4,9
2,6,2,14
2,6,1,8
2,6,6,11
2,6,8,5
2,6,5,10
2,6,9,4
2,6,7,2
2,6,3,1
2,6,14,12
2,6,11,13
2,6,13,6
2,6,12,3
2,6,10,7
3,7,2,2
3,7,14,12
3,7,9,1
3,7,12,4
3,7,10,3
3,7,3,7
3,7,7,8
3,7,1,6
3,7,11,11
3,7,5,10
3,7,4,13
3,7,8,5
3,7,6,9
2,7,1,10
2,7,14,11
2,7,7,9
2,7,10,1
2,7,12,6
2,7,9,4
2,7,4,12
2,7,5,13
2,7,11,3
2,7,8,2
2,7,3,8
2,7,6,7
2,7,13,14
2,7,2,5
3,8,1,8
3,8,11,12
3,8,3,2
3,8,8,4
3,8,7,9
3,8,9,10
3,8,6,11
3,8,14,5
3,8,2,13
3,8,10,3
3,8,12,7
3,8,4,1
3,8,5,6
2,8,8,2
2,8,14,11
2,8,10,9
2,8,12,1
2,8,1,3
2,8,2,5
2,8,4,13
2,8,11,4
2,8,3,6
2,8,13,14
2,8,9,7
2,8,7,10
2,8,6,12
2,8,5,8
