,duo-fpp
assists,7
boosts,43
dBNOs,14
dailyKills,14
dailyWins,0
damageDealt,4113.9526
days,5
headshotKills,7
heals,43
killPoints,0
kills,24
longestKill,82.33084
longestTimeSurvived,1532
losses,23
maxKillStreaks,2
mostSurvivalTime,1532
rankPoints,0
rankPointsTitle,
revives,8
rideDistance,28147.928
roadKills,0
roundMostKills,4
roundsPlayed,23
suicides,1
swimDistance,53.693573
teamKills,0
timeSurvived,16402
top10s,6
vehicleDestroys,1
walkDistance,26201.94
weaponsAcquired,134
weeklyKills,19
weeklyWins,0
winPoints,0
wins,0
